time_iso8601,forks_cumulative
2020-06-24 00:00:00+00:00,1
2020-06-25 00:00:00+00:00,3
2020-06-26 00:00:00+00:00,4
2020-06-30 00:00:00+00:00,5
2020-07-01 00:00:00+00:00,6
2020-07-02 00:00:00+00:00,7
2020-07-03 00:00:00+00:00,9
2020-07-05 00:00:00+00:00,10
2020-07-07 00:00:00+00:00,11
2020-07-10 00:00:00+00:00,13
2020-07-13 00:00:00+00:00,14
2020-07-14 00:00:00+00:00,15
2020-07-15 00:00:00+00:00,17
2020-07-17 00:00:00+00:00,20
2020-07-20 00:00:00+00:00,21
2020-07-21 00:00:00+00:00,23
2020-07-22 00:00:00+00:00,25
2020-07-23 00:00:00+00:00,26
2020-07-27 00:00:00+00:00,28
2020-07-28 00:00:00+00:00,29
2020-07-30 00:00:00+00:00,30
2020-08-03 00:00:00+00:00,31
2020-08-04 00:00:00+00:00,32
2020-08-06 00:00:00+00:00,34
2020-08-07 00:00:00+00:00,36
2020-08-09 00:00:00+00:00,37
2020-08-14 00:00:00+00:00,39
2020-08-17 00:00:00+00:00,41
2020-08-18 00:00:00+00:00,43
2020-08-19 00:00:00+00:00,44
2020-08-20 00:00:00+00:00,45
2020-08-22 00:00:00+00:00,46
2020-08-23 00:00:00+00:00,47
2020-08-24 00:00:00+00:00,48
2020-08-25 00:00:00+00:00,49
2020-08-26 00:00:00+00:00,50
2020-08-27 00:00:00+00:00,51
2020-08-31 00:00:00+00:00,53
2020-09-01 00:00:00+00:00,55
2020-09-02 00:00:00+00:00,56
2020-09-03 00:00:00+00:00,59
2020-09-04 00:00:00+00:00,61
2020-09-05 00:00:00+00:00,63
2020-09-06 00:00:00+00:00,64
2020-09-07 00:00:00+00:00,65
2020-09-08 00:00:00+00:00,67
2020-09-09 00:00:00+00:00,69
2020-09-10 00:00:00+00:00,70
2020-09-11 00:00:00+00:00,71
2020-09-12 00:00:00+00:00,72
2020-09-13 00:00:00+00:00,73
2020-09-14 00:00:00+00:00,74
2020-09-18 00:00:00+00:00,75
2020-09-20 00:00:00+00:00,76
2020-09-21 00:00:00+00:00,78
2020-09-22 00:00:00+00:00,79
2020-09-23 00:00:00+00:00,80
2020-09-24 00:00:00+00:00,81
2020-09-27 00:00:00+00:00,82
2020-09-29 00:00:00+00:00,83
2020-10-02 00:00:00+00:00,84
2020-10-04 00:00:00+00:00,85
2020-10-07 00:00:00+00:00,86
2020-10-11 00:00:00+00:00,87
2020-10-18 00:00:00+00:00,88
2020-10-19 00:00:00+00:00,89
2020-10-20 00:00:00+00:00,90
2020-10-22 00:00:00+00:00,92
2020-10-29 00:00:00+00:00,94
2020-10-30 00:00:00+00:00,95
2020-11-01 00:00:00+00:00,96
2020-11-02 00:00:00+00:00,97
2020-11-03 00:00:00+00:00,99
2020-11-04 00:00:00+00:00,101
2020-11-10 00:00:00+00:00,102
2020-11-11 00:00:00+00:00,103
2020-11-12 00:00:00+00:00,104
2020-11-14 00:00:00+00:00,106
2020-11-16 00:00:00+00:00,107
2020-11-17 00:00:00+00:00,108
2020-11-18 00:00:00+00:00,109
2020-11-22 00:00:00+00:00,110
2020-11-23 00:00:00+00:00,111
2020-11-27 00:00:00+00:00,112
2020-11-28 00:00:00+00:00,114
2020-11-30 00:00:00+00:00,116
2020-12-02 00:00:00+00:00,119
2020-12-04 00:00:00+00:00,124
2020-12-06 00:00:00+00:00,125
2020-12-08 00:00:00+00:00,127
2020-12-10 00:00:00+00:00,128
2020-12-14 00:00:00+00:00,129
2020-12-15 00:00:00+00:00,130
2020-12-16 00:00:00+00:00,131
2020-12-17 00:00:00+00:00,132
2020-12-18 00:00:00+00:00,133
2020-12-22 00:00:00+00:00,135
2020-12-27 00:00:00+00:00,137
2020-12-28 00:00:00+00:00,138
2020-12-29 00:00:00+00:00,140
2020-12-30 00:00:00+00:00,141
2021-01-05 00:00:00+00:00,142
2021-01-07 00:00:00+00:00,143
2021-01-08 00:00:00+00:00,144
2021-01-09 00:00:00+00:00,145
2021-01-12 00:00:00+00:00,146
2021-01-13 00:00:00+00:00,149
2021-01-18 00:00:00+00:00,150
2021-01-19 00:00:00+00:00,151
2021-01-20 00:00:00+00:00,154
2021-01-21 00:00:00+00:00,155
2021-01-25 00:00:00+00:00,156
2021-01-26 00:00:00+00:00,158
2021-01-27 00:00:00+00:00,159
2021-01-28 00:00:00+00:00,161
2021-01-29 00:00:00+00:00,163
2021-01-31 00:00:00+00:00,165
2021-02-01 00:00:00+00:00,166
2021-02-02 00:00:00+00:00,168
2021-02-05 00:00:00+00:00,169
2021-02-09 00:00:00+00:00,170
2021-02-10 00:00:00+00:00,171
2021-02-11 00:00:00+00:00,172
2021-02-15 00:00:00+00:00,173
2021-02-17 00:00:00+00:00,176
2021-02-21 00:00:00+00:00,177
2021-02-22 00:00:00+00:00,178
2021-02-25 00:00:00+00:00,179
2021-03-02 00:00:00+00:00,180
2021-03-03 00:00:00+00:00,181
2021-03-04 00:00:00+00:00,182
2021-03-08 00:00:00+00:00,184
2021-03-09 00:00:00+00:00,185
2021-03-11 00:00:00+00:00,186
2021-03-12 00:00:00+00:00,187
2021-03-16 00:00:00+00:00,188
2021-03-21 00:00:00+00:00,190
2021-04-02 00:00:00+00:00,191
2021-04-06 00:00:00+00:00,192
2021-04-13 00:00:00+00:00,193
2021-04-16 00:00:00+00:00,196
2021-04-19 00:00:00+00:00,198
2021-04-20 00:00:00+00:00,199
2021-04-22 00:00:00+00:00,200
2021-04-23 00:00:00+00:00,201
2021-04-25 00:00:00+00:00,204
2021-04-29 00:00:00+00:00,206
2021-04-30 00:00:00+00:00,208
2021-05-05 00:00:00+00:00,209
2021-05-06 00:00:00+00:00,211
2021-05-08 00:00:00+00:00,213
2021-05-10 00:00:00+00:00,214
2021-05-17 00:00:00+00:00,215
2021-05-18 00:00:00+00:00,217
2021-05-19 00:00:00+00:00,219
2021-05-20 00:00:00+00:00,221
2021-05-21 00:00:00+00:00,222
2021-05-26 00:00:00+00:00,223
2021-05-30 00:00:00+00:00,224
2021-06-05 00:00:00+00:00,225
2021-06-06 00:00:00+00:00,226
2021-06-10 00:00:00+00:00,227
2021-06-11 00:00:00+00:00,228
2021-06-12 00:00:00+00:00,229
2021-06-13 00:00:00+00:00,230
2021-06-19 00:00:00+00:00,231
2021-06-23 00:00:00+00:00,232
2021-06-29 00:00:00+00:00,233
2021-06-30 00:00:00+00:00,235
2021-07-07 00:00:00+00:00,236
2021-07-09 00:00:00+00:00,237
2021-07-11 00:00:00+00:00,238
2021-07-14 00:00:00+00:00,239
2021-07-17 00:00:00+00:00,240
2021-07-18 00:00:00+00:00,242
2021-07-19 00:00:00+00:00,244
2021-07-20 00:00:00+00:00,245
2021-07-21 00:00:00+00:00,246
2021-07-23 00:00:00+00:00,247
2021-07-28 00:00:00+00:00,248
2021-07-31 00:00:00+00:00,249
2021-08-04 00:00:00+00:00,250
2021-08-10 00:00:00+00:00,251
2021-08-12 00:00:00+00:00,252
2021-08-16 00:00:00+00:00,255
2021-08-19 00:00:00+00:00,256
2021-08-20 00:00:00+00:00,257
2021-08-24 00:00:00+00:00,259
2021-08-25 00:00:00+00:00,260
2021-08-27 00:00:00+00:00,261
2021-09-02 00:00:00+00:00,263
2021-09-05 00:00:00+00:00,264
2021-09-09 00:00:00+00:00,266
2021-09-10 00:00:00+00:00,267
2021-09-13 00:00:00+00:00,268
2021-09-14 00:00:00+00:00,269
2021-09-16 00:00:00+00:00,270
2021-09-17 00:00:00+00:00,271
2021-09-24 00:00:00+00:00,272
2021-09-27 00:00:00+00:00,273
2021-09-28 00:00:00+00:00,276
2021-09-29 00:00:00+00:00,277
2021-10-05 00:00:00+00:00,278
2021-10-07 00:00:00+00:00,279
2021-10-09 00:00:00+00:00,281
2021-10-11 00:00:00+00:00,283
2021-10-13 00:00:00+00:00,284
2021-10-15 00:00:00+00:00,285
2021-10-20 00:00:00+00:00,287
2021-10-21 00:00:00+00:00,288
2021-10-25 00:00:00+00:00,289
2021-10-26 00:00:00+00:00,290
2021-10-27 00:00:00+00:00,291
2021-10-28 00:00:00+00:00,292
2021-10-31 00:00:00+00:00,293
2021-11-02 00:00:00+00:00,294
2021-11-03 00:00:00+00:00,296
2021-11-04 00:00:00+00:00,299
2021-11-05 00:00:00+00:00,300
2021-11-07 00:00:00+00:00,301
2021-11-08 00:00:00+00:00,303
